Ramal;Arrecadado;Grupo;Endereço;Numero
1601431;30,08;14;R.. Dr Pereira Neto, 1262, Camaqua, 91920-530;1262
1602624;260,44;14;R.. Prof Joaquim Louzada, 9, Camaqua, 91920-050;9
1614029;314,54;14;R.. Joaquim de Carvalho, 345, Vila Nova, 91740-840;345
1615297;137,16;13;R.. Almirante Camara, 372, Tristeza, 91920-450;372
1637762;275,23;14;Av.. Juca Batista, 21, Ipanema, 91770-001;21
1640178;30,08;15;R.. Atilio Supertti, 387, Vila Nova, 91750-200;387
1651528;230,54;15;Av.. Sao Jose do Norte, 20, Belem Velho, 91712-052;20
1667572;100,01;15;R.. Andre Correa Dutra, 100, Vila Nova, 91750-580;100
1668099;223,86;15;R.. Aristides Joaquim do Nascimento, 75, Vila Nova, 91750-550;75
1672010;30,55;15;R.. Atilio Supertti, 501, Vila Nova, 91750-200;501
1678094;446,58;14;R.. Pedro Rodrigues Bitencourt, 241, Cavalhada, 91750-210;241
1688421;913,49;15;Bc.. Paladino, 259, Campo Novo, 91750-110;259
1690248;60,18;15;Estr.. Cristiano Kraemer, 1936, Campo Novo, 91750-060;1936
1709399;1.818,93;14;Av.. Juca Batista, 1644, Ipanema, 91770-000;1644
1711504;566,79;15;R.. Andre Primo Biazetto, 144, Campo Novo, 91751-390;144
1711903;549,14;15;Av.. Juca Batista, 2104, Campo Novo, 91770-000;2104
1752928;634,82;16;Av.. Celestino Bertolucci, 175, Aberta dos Morr, 91755-020;175
1756362;329,07;16;Av.. Celestino Bertolucci, 520, Aberta dos Morr, 91755-020;520
1757709;63,49;16;Av.. Juca Batista, 4165, Aberta dos Morr, 91755-000;4165
1759531;511,02;16;R.. Dorival Castilho Machado, 1267, Aberta dos Morr, 91755-210;1267
1762095;133,85;15;Av.. Edgar Pires de Castro, 852, Hipica, 91787-152;852
1774492;313,06;15;Ac.. L sq Dois Primeira uv vl n Restinga, 145, Restinga, 91792-370;145
1777998;137,17;15;Av.. Econ Nilo Wulff, 159, Restinga, 91790-000;159
1782975;304,27;15;Ac.. K sq Tres Segunda uv vl n Restinga, 2103, Restinga, 91792-;2103
1785290;596,69;15;Ac.. E sq Dois Segunda uv vl n Restinga, 2279, Restinga, 91793-;2279
1827936;1.239,64;15;Estr.. Barro Vermelho, 215, Restinga, 91790-100;215
1837770;2.217,11;16;Av.. Juca Batista, 7545, Chapeu do sol, 91781-001;7545
1859170;1.741,14;16;Av.. Heitor Vieira, 1047, Belem Novo, 91780-000;1047
1979531;161,16;4;R.. Carlos Salzano Vieira da Cunha, 356, Jardim itu, 91225-085;356
1985213;1.693,58;15;R.. Tome Antonio de Souza, 219, Campo Novo, 91750-170;219
2000962;51,32;4;R.. Onze de Junho, 85, Passo das Pedra, 91230-505;85
2006383;490,92;10;Estr.. Joao de Oliveira Remiao, 6065, Lomba Pinheiro, 91560-000;6065
2015633;453,70;10;Estr.. Joao de Oliveira Remiao, 6317, Lomba Pinheiro, 91560-000;6317
2044501;670,66;10;Av.. Deputado Adao Pretto, 90, Lomba Pinheiro, 91570-730;90
2051427;701,81;16;R.. Dona Malvina Lami, 27, Lami, 91787-490;27
2080702;170,21;6;Pca.. Quinze de Novembro, 19, Centro Historic, 90020-080;19
2081830;133,58;9;R.. Padre Antonio Vieira, 370, Santo Antonio, 90640-060;370
2089815;220,26;1;R.. Ernesto Alves, 60, Floresta, 90220-190;60
2114771;581,08;5;R.. Etelvina Hipolito da Silveira, 113, Sta Rosa Lima, 91160-624;113
2129485;111,45;12;R.. Cruzeiro do sul, 1947, Santa Tereza, 90840-000;1947
2138786;269,34;4;R.. Dr Alberto Barbosa, 293, Vila Jardim, 91320-040;293
2145510;296,65;5;R.. Deodoro, 698, Mario Quintana, 91260-370;698
2176696;396,24;12;R.. Caixa Economica, 266, Santa Tereza, 90840-610;266
2225131;628,97;10;Av.. Deputado Adao Pretto, 786, Lomba Pinheiro, 91570-730;786
2229609;405,35;2;R.. Senhor do bom fim, 983, Sarandi, 91140-380;983
2230860;90,65;2;Av.. Assis Brasil, 5737, Sarandi, 91110-001;5737
2238667;210,02;1;Av.. Amynthas Jacques de Moraes, 247, Humaita, 90245-050;247
2270854;30,02;5;R.. Petronilla Cogo, 84, Parque sta fe, 91180-750;84
2292696;30,08;14;Av.. Guaruja, 380, Guaruja, 91770-050;380
2307669;299,71;10;Estr.. Joao de Oliveira Remiao, 6321, Lomba Pinheiro, 91560-000;6321
2322293;56,12;16;Av.. Juca Batista, 5785, Hipica, 91755-851;5785
2322595;1.051,83;2;Av.. Assis Brasil, 4791, Sarandi, 91110-001;4791
2324172;684,46;6;Av.. Alberto Bins, 404, Centro Historic, 90030-140;404
2339102;491,00;10;Estr.. Afonso Lourenco Mariante, 4602, Lomba Pinheiro, 91550-;4602
2347040;1.405,80;3;R.. Pistoia, 32, Passo da Areia, 90520-180;32
2373700;425,16;3;Av.. Plinio Brasil Milano, 1475, Boa Vista, 90520-002;1475
2411636;996,26;3;R.. Luzitana, 38, Sao Joao, 90520-080;38
2418126;135,94;2;Av.. Bernardino Silveira Pastoriza, 1150, Sta Rosa Lima, 91160-310;1150
2418959;724,81;16;Av.. Heitor Vieira, 438, Belem Novo, 91780-000;438
2443260;30,55;5;Av.. Adelino Ferreira Jardim, 224, Rubem Berta, 91250-310;224
2444291;187,60;10;R.. Ana Julia Pereira, 125, Lomba Pinheiro, 91550-395;125
2444348;127,02;14;R.. Morro Alto, 138, Ipanema, 91751-650;138
2444844;96,72;1;Av.. Sertorio, 2725, Santa m Goretti, 91030-541;2725
2449560;1.219,25;13;Av.. Wenceslau Escobar, 912, Tristeza, 91910-712;912
2480824;30,02;6;Av.. Alberto Bins, 404, Centro Historic, 90030-140;404
2480832;30,02;6;Av.. Alberto Bins, 404, Centro Historic, 90030-140;404
2480840;30,02;6;Av.. Alberto Bins, 404, Centro Historic, 90030-140;404
2482550;136,43;3;R.. Jose Mauricio, 138, Sao Sebastiao, 91060-350;138
2526778;137,82;15;R.. Raul Silva Gudolle, 290, Hipica, 91787-197;290
2531666;3.190,11;10;Av.. Bento Goncalves, 7179, Agronomia, 91540-000;7179
